Category,Headline,Link,Summary,PublishedDate,ScrapeTimestamp
Politics,"Week in politics: Almost 100 days into Trump's second term, a look back",https://www.npr.org/2025/04/26/nx-s1-5373949/week-in-politics-almost-100-days-into-trumps-second-term-a-look-back,"Nearly 100 days into his new term, President Trump has set an aggressive agenda, spending his political capital and losing some of the public approval he began with.","Sat, 26 Apr 2025 08:00:26 -0400",2025-04-26 12:37:00
Politics,Why judges blocked the Trump admin's school DEI crackdown,https://www.npr.org/2025/04/26/nx-s1-5375904/trump-dei-schools-education-courts,"On Thursday, three federal judges in Maryland, New Hampshire and Washington, D.C., said Trump's anti-DEI efforts were on shaky legal ground.","Sat, 26 Apr 2025 05:00:00 -0400",2025-04-26 12:37:00
Politics,Justice Department revokes Biden-era protections for reporters in leak investigations,https://www.npr.org/2025/04/25/nx-s1-5377624/pam-bondi-reporters-subpoena-leaks,"In a new memo, Attorney General Pam Bondi said the DOJ will allow for subpoenas, court orders and search warrants to get information and testimony from journalists.","Fri, 25 Apr 2025 20:26:39 -0400",2025-04-26 12:37:00
Politics,Takeaways from the week — and how they've affected President Trump's polling numbers,https://www.npr.org/2025/04/25/nx-s1-5377370/takeaways-from-the-week-and-how-theyve-affected-president-trumps-polling-numbers,"This week, President Trump seemed to take a softer tone when asked about the trade war with China. Here are four takeaways from week 14 in our continued look at Trump's first 100 days in office.","Fri, 25 Apr 2025 17:10:53 -0400",2025-04-26 12:37:00
Politics,NATO Secretary General speaks with NPR ahead of U.S. meetings,https://www.npr.org/2025/04/25/nx-s1-5377344/nato-secretary-general-speaks-with-npr-ahead-of-u-s-meetings,NPR's Michel Martin speaks with NATO Secretary General Mark Rutte about U.S. involvement in major international conflicts under the Trump administration.,"Fri, 25 Apr 2025 16:50:20 -0400",2025-04-26 12:37:00
Politics,Federal agencies are reeling from Trump administration cuts to government,https://www.npr.org/2025/04/25/1247139363/trump-administration-cuts-pentagon-state-hhs,"Whether a ""chainsaw,"" per Elon Musk, or ""scalpel,"" as President Trump has said — the Trump administration is making deep cuts to the federal government within its first 100 days.<br /><br />And Trump has appointed personal allies with little experience in government to key cabinet positions.<br /><br />For the civil servants working to enact the missions of these government agencies, that's often meant another word: ""chaos.""<br /><br />NPR correspondents Tom Bowman, Michele Kelemen and Selena Simmons-Duffin recap what they are hearing from federal workers at the Departments of Defense, State, and Health and Human Services.<br /><br />For sponsor-free episodes of <em>Consider This,</em> sign up for C<em>onsider This+</em> via Apple Podcasts or at <a href=""http://plus.npr.org/"">plus.npr.org</a>.<br /><br />Email us at<a href=""mailto:considerthis@npr.org""> considerthis@npr.org</a>.","Fri, 25 Apr 2025 16:15:52 -0400",2025-04-26 12:37:00
Top News,Finally! Shedeur Sanders gets picked by the Cleveland Browns in the NFL draft 5th round,https://www.npr.org/2025/04/26/nx-s1-5378143/shedeur-sanders-nfl-draft-cleveland-browns,"He had to wait until the fifth round, but Shedeur Sanders, son of Pro Football Hall of Famer Deion Sanders — his coach at the University of Colorado — has finally been drafted by the NFL.","Sat, 26 Apr 2025 15:19:08 -0400",2025-04-26 12:37:00
Top News,U.S. judge says 2-year-old apparently deported to Honduras 'with no meaningful process',https://www.npr.org/2025/04/26/nx-s1-5378077/honduras-deported-girl-citizen,"The toddler, a U.S. citizen, was apparently sent to Honduras with her mother and 11-year-old sister, even as a federal judge tried to contact an attorney representing the government.","Sat, 26 Apr 2025 13:12:36 -0400",2025-04-26 12:37:00
Top News,Iran says 5 people are dead and more than 700 injured in a massive port explosion,https://www.npr.org/2025/04/26/nx-s1-5378075/iran-port-explosion-deaths,A massive explosion and fire rocked a port in southern Iran possibly linked to a shipment of a chemical ingredient used to make missile propellant.,"Sat, 26 Apr 2025 09:00:34 -0400",2025-04-26 12:37:00
Top News,"Built on a rich coffee history, Yemeni cafes find U.S. success and new challenges, too",https://www.npr.org/2025/04/26/nx-s1-5342380/yemen-coffee,"Yemen is an ancient birthplace of the coffee trade, and immigrants fleeing its civil war have brought their culture here in the form of cafes. Hundreds of Yemeni coffee shops have opened in the U.S.","Sat, 26 Apr 2025 08:00:00 -0400",2025-04-26 12:37:00
Top News,Opinion: Pope Francis's sympathy for migrants was personal,https://www.npr.org/2025/04/26/nx-s1-5370547/opinion-pope-franciss-sympathy-for-migrants-was-personal,"Pope Francis often spoke with great sympathy for immigrants and refugees. NPR's Scott Simon reminds us that the Pope's father fled Mussolini's Italy, immigrating to Argentina.","Sat, 26 Apr 2025 08:00:00 -0400",2025-04-26 12:37:00
Top News,Trump meets Zelenskyy during visit to Pope Francis' funeral,https://www.npr.org/2025/04/26/g-s1-62926/trump-zelenskyy-pope-francis-funeral,It was their first face-to-face meeting since they argued in front of cameras in the Oval Office in February — and comes as efforts intensify to end Russia's war in Ukraine.,"Sat, 26 Apr 2025 07:05:50 -0400",2025-04-26 12:37:00
Top News,Photos: Pope Francis is laid to rest and mourned around the world,https://www.npr.org/sections/the-picture-show/2025/04/26/g-s1-62269/images-from-pope-francis-funeral-mass,Pope Francis was honored with a funeral Mass Saturday morning in the Vatican City's St. Peter's Square. These are some of the images that captured the grief of those mourning him around the world.,"Sat, 26 Apr 2025 05:24:14 -0400",2025-04-26 12:37:00
Top News,These Australian twins have gone viral after speaking in synch,https://www.npr.org/2025/04/26/nx-s1-5375805/these-australian-twins-have-gone-viral-after-speaking-in-synch,"Meet Bridgette and Paula Powers, identical twins who speak in synch and dedicate themselves to animal conservation.","Sat, 26 Apr 2025 05:00:29 -0400",2025-04-26 12:37:00
Top News,"10 years after Freddie Gray's death, his neighborhood looks for hope",https://www.npr.org/2025/04/26/g-s1-62502/ten-years-freddie-grays-death-sandtown-winchester,"There's still a lot of need in Baltimore's Sandtown-Winchester neighborhood, where Freddie Gray lived. People from the neighborhood work to meet it.","Sat, 26 Apr 2025 05:00:00 -0400",2025-04-26 12:37:00
Top News,Employee cuts at Social Security are leaving remaining workers struggling to keep up,https://www.npr.org/2025/04/26/nx-s1-5368480/social-security-workforce-cuts,"Social Security employees are feeling ""overwhelmed"" and wait times for phone services are up as workforce cuts from the Trump administration are being felt throughout the agency.","Sat, 26 Apr 2025 05:00:00 -0400",2025-04-26 12:37:00
World News,A look at the Kremlin's negotiating strategy,https://www.npr.org/2025/04/26/nx-s1-5371604-e1/a-look-at-the-kremlins-negotiating-strategy,"As the Trump administration continues to flood the news cycles with its efforts to end to the war in Ukraine, NPR looks at the Kremlin's negotiating strategy.","Sat, 26 Apr 2025 08:50:45 -0400",2025-04-26 12:37:00
World News,Crowds of mourners and dignitaries pay respects to Pope Francis at funeral service,https://www.npr.org/2025/04/26/nx-s1-5375901/funeral-pope-francis-rome,"It's a day of remembrance, mourning and celebration as thousands gather in Rome to pay their respects and say farewell to Pope Francis.","Sat, 26 Apr 2025 03:29:00 -0400",2025-04-26 12:37:00
World News,"Virginia Giuffre, who accused Prince Andrew in Epstein sex trafficking scandal, has died",https://www.npr.org/2025/04/26/g-s1-62856/virginia-giuffre-has-died,"The American-born Giuffre, who lived in Australia for years, became an advocate for sex trafficking survivors after emerging as a central figure in financier Jeffrey Epstein's prolonged downfall.","Sat, 26 Apr 2025 01:22:27 -0400",2025-04-26 12:37:00
World News,Trump has his old friend Steve Witkoff leading his toughest diplomatic talks,https://www.npr.org/2025/04/25/nx-s1-5364884/trump-witkoff-russia-iran-middle-east,"President Trump has put Steve Witkoff — a friend from New York's real estate world — in charge of delicate talks on the war in Ukraine, Iran's nuclear ambitions and the conflict in Gaza.","Fri, 25 Apr 2025 16:58:40 -0400",2025-04-26 12:37:00
World News,A New Mission for Syria's Famed White Helmets,https://www.npr.org/2025/04/25/1247139335/a-new-mission-for-syrias-famed-white-helmets,"During Syria's long civil war, the White Helmets were known for running into harms way, rescuing civilians from the aftermath of regime attacks. Now with the regime gone, the famed organization is finding a new mission with new challenges. We go to Damascus to see them in action.","Fri, 25 Apr 2025 14:30:18 -0400",2025-04-26 12:37:00
World News,What it's like in the church Pope Francis chose as his final resting place,https://www.npr.org/2025/04/25/nx-s1-5377342/pope-francis-funeral-burial-basilica-st-mary-major-church,"Pope Francis will be buried in St. Mary Major church, not Saint Peter's Basilica, in a break with tradition.","Fri, 25 Apr 2025 14:09:55 -0400",2025-04-26 12:37:00
